
time (s)          v("VIN" ?resul    v("VOUT" ?resu    getData("VDD:p
 4.960000e-04      2.500025e+00      8.731511e-01     -2.582995e-04     
 4.980000e-04      2.500012e+00      8.731568e-01     -2.582991e-04     
 5.000000e-04      2.500000e+00      8.731625e-01     -2.582987e-04     
 5.020000e-04      2.499987e+00      8.731681e-01     -2.582984e-04     
 5.040000e-04      2.499974e+00      8.731738e-01     -2.582980e-04     
 5.060000e-04      2.499962e+00      8.731794e-01     -2.582977e-04     
 5.080000e-04      2.499949e+00      8.731851e-01     -2.582973e-04     
 5.100000e-04      2.499937e+00      8.731908e-01     -2.582970e-04     
 5.120000e-04      2.499924e+00      8.731964e-01     -2.582966e-04     
 5.140000e-04      2.499912e+00      8.732021e-01     -2.582963e-04     
 5.160000e-04      2.499899e+00      8.732077e-01     -2.582959e-04     
 5.180000e-04      2.499887e+00      8.732133e-01     -2.582956e-04     
 5.200000e-04      2.499874e+00      8.732190e-01     -2.582952e-04     
 5.220000e-04      2.499862e+00      8.732246e-01     -2.582949e-04     
 5.240000e-04      2.499849e+00      8.732302e-01     -2.582945e-04     
 5.260000e-04      2.499837e+00      8.732358e-01     -2.582942e-04     
 5.280000e-04      2.499824e+00      8.732414e-01     -2.582938e-04     
 5.300000e-04      2.499812e+00      8.732470e-01     -2.582935e-04     
 5.320000e-04      2.499800e+00      8.732526e-01     -2.582931e-04     
 5.340000e-04      2.499787e+00      8.732581e-01     -2.582928e-04     
 5.360000e-04      2.499775e+00      8.732637e-01     -2.582924e-04     
 5.380000e-04      2.499763e+00      8.732692e-01     -2.582921e-04     
 5.400000e-04      2.499751e+00      8.732747e-01     -2.582917e-04     
 5.420000e-04      2.499739e+00      8.732802e-01     -2.582914e-04     
 5.440000e-04      2.499727e+00      8.732857e-01     -2.582910e-04     
 5.460000e-04      2.499714e+00      8.732912e-01     -2.582907e-04     
 5.480000e-04      2.499702e+00      8.732966e-01     -2.582903e-04     
 5.500000e-04      2.499690e+00      8.733020e-01     -2.582900e-04     
 5.520000e-04      2.499679e+00      8.733075e-01     -2.582897e-04     
 5.540000e-04      2.499667e+00      8.733128e-01     -2.582893e-04     
 5.560000e-04      2.499655e+00      8.733182e-01     -2.582890e-04     
 5.580000e-04      2.499643e+00      8.733235e-01     -2.582887e-04     
 5.600000e-04      2.499631e+00      8.733288e-01     -2.582883e-04     
 5.620000e-04      2.499620e+00      8.733341e-01     -2.582880e-04     
 5.640000e-04      2.499608e+00      8.733394e-01     -2.582877e-04     
 5.660000e-04      2.499597e+00      8.733446e-01     -2.582873e-04     
 5.680000e-04      2.499585e+00      8.733498e-01     -2.582870e-04     
 5.700000e-04      2.499574e+00      8.733550e-01     -2.582867e-04     
 5.720000e-04      2.499562e+00      8.733601e-01     -2.582864e-04     
